name;marque;description;original_price;final_price
Boisson ice tea;ARIS;400ml - citron;3,100 DT;2,490 DT
Boisson ice tea;ARIS;400ml - peche;3,100 DT;2,490 DT
Boisson au jus;TROPICO;1L - cocktail;3,190 DT;3,100 DT
Nectar;DELICE;1L - mangue;;3,120 DT
Boisson au jus;DELICE;1L - mojito;;3,120 DT
Nectar;DELICE;1L - multivitaminé;;3,120 DT
Boisson au jus;DELICE;1L - raisin;;3,120 DT
Boisson au jus;DELICE;1L - peche;;3,120 DT
Boisson au jus;DELICE;1L - poire;;3,120 DT
Boisson au jus;DELICE;1L - orange;;3,120 DT
Boisson au jus;DELICE;1L - Fruits blancs;;3,120 DT
Nectar;DELICE;1L - tropical;;3,120 DT
Boissons gazeuses;COCA COLA;1.5L - cola zéro;;3,150 DT
Boisson gazeuse;VIVA;1.5L - cidre;;3,190 DT
Boisson gazeuse;VIVA;1.5L - pomme;;3,190 DT
Boisson gazeuse;VIVA;1.5L - peche;;3,190 DT
Boissons gazeuses;VIVA;1.5L - citron;;3,190 DT
Boisson gazeuse;RAOUA;1.5L - framboise;;3,190 DT
Boisson gazeuse;TROPICO;1.5L - Cocktail de fruits;;3,190 DT
Boisson gazeuse;PUNCH;1.5L - cidre;;3,260 DT
Boisson gazeuse;PUNCH;1.5L - pomme;;3,260 DT
Boisson gazeuse;PUNCH;1.5L - orange;;3,260 DT
Boisson gazeuse;FANTA;1.5L - tropical;3,350 DT;3,250 DT
Boisson gazeuse;SCHWEPPES;1.5L - ananas;3,350 DT;3,250 DT
Boisson gazeuse;BOGA;1.5L - cidre;3,350 DT;3,250 DT
Boisson gazeuse;FANTA;1.5L - citron;3,350 DT;3,250 DT
Boissons gazeuses;COCA COLA;1.5L - cola;3,350 DT;3,250 DT
Boissons gazeuses;FANTA;1.5L - orange;3,350 DT;3,250 DT
Boissons gazeuses;BOGA;1.5L - lime;3,350 DT;3,250 DT
Boissons gazeuses;APLA;1.5L - pomme;3,350 DT;3,250 DT
Boissons gazeuses;SPRITE;1.5L;3,350 DT;3,250 DT
Boisson gazeuse;PUNCH;1.5L - citron;;3,260 DT
Boisson énergétique;BULL D'OR;25CL - Avec taurine;;3,290 DT
Boisson au jus;DIVA;1 Litre - pomme;;3,350 DT
Boisson au jus;DIVA;1Litre - Multi-fruits;;3,350 DT
Boisson au jus;STIL;1L - orange;;3,390 DT
Boisson ice tea;DI DI;250ml - Bergamotte;;3,390 DT
Boisson ice tea;DI DI;250ml - peche;;3,390 DT
Boisson au jus;STIL;1L - tropical;;3,400 DT
Boisson au jus;STIL;1L - ananas;;3,400 DT
Boisson au jus;STIL;1L - mangue;;3,400 DT
Boisson au jus;STIL;1L - cocktail;;3,400 DT
Boisson au jus;DIVA;1L - ananas;;3,520 DT
Boisson au jus;DIVA;1L - orange;;3,520 DT
Boisson gazeuse;PUNCH;1.5L - pulpe orange;;3,550 DT
Boisson au jus;YUMY;250ml - Smoothie...;;3,590 DT
Boisson au jus;RANI;1L - cocktail;3,990 DT;3,090 DT
Boisson au jus;RANI;1L - orange;3,990 DT;3,090 DT
Boisson au jus;RANI;1L - ananas;3,990 DT;3,090 DT
Boisson au jus;YUMY;250ml - Smoothie...;5,620 DT;3,590 DT
Boisson au jus;YUMY;250ml - Smoothie...;5,620 DT;3,590 DT
Boisson au jus;YUMY;250ml - Smoothie...;5,620 DT;3,590 DT
Boisson au jus;OH;1L - Berries;5,620 DT;3,750 DT
Nectar;OH;1L - poire;;3,940 DT
Citronnade;BOQUERIA;1L;;4,660 DT
Boisson au jus;RAUCH;355ML - pomme;;4,850 DT
Boisson au jus;RAUCH;355ML - raisin;;4,850 DT
Boisson au jus;RAUCH;355ML - orange;;4,850 DT
Boisson au jus;RAUCH;355ML - cocktail;;4,850 DT
Boisson énergétique;POWER HORSE;25CL - Zero sugar;;5,140 DT
Boisson énergétique;POWERHORSE;25CL - grenadine;;5,140 DT
Boisson énergétique;POWERHORSE;25CL;;5,140 DT
Boisson au jus;STIL;2L - cocktail;;5,200 DT
Boisson au jus;STIL;2L - orange;;5,200 DT
Jus;BOQUERIA;1 L - orange;;5,620 DT
Boisson énergétique;SHARK;25CL;;5,750 DT
Boisson énergitique;SHARK;25CL - Stimulation;;5,750 DT
Nectar;VITRAC;1L - Ananas-Orange;;6,080 DT
Nectar;VITRAC;1L - orange;;6,080 DT
Nectar;VITRAC;1L - Goyave;;6,080 DT
Boisson énergétique;RED BULL;25CL - Avec taurine;6,290 DT;4,890 DT
Nectar;VITRAC;1L - mangue;6,990 DT;6,290 DT
Boisson au jus;BEYTI;1L - mangue;11,390 DT;6,650 DT
Boisson au jus;BEYTI;1L - orange;11,390 DT;6,990 DT
Jus de fraise;BOQUERIA;1L;11,390 DT;7,580 DT
Jus de grenade;BOQUERIA;1L;11,390 DT;8,800 DT
Jus 100% naturel;NATURA;75CL - raisin;11,390 DT;9,190 DT
Jus 100% naturel;NATURA;75CL - Raisin rouge;11,390 DT;9,190 DT
Jus 100% naturel;NATURA;75CL - Raisin noir;11,390 DT;9,190 DT
Nectar;AL MARAI;1L - mangue;11,390 DT;9,990 DT
Nectar;AL MARAI;1L - Goyave;11,390 DT;9,990 DT
Nectar;AL MARAI;1L - orange;11,490 DT;9,990 DT
Nectar;AL MARAI;1L - pomme;11,490 DT;9,990 DT
Boisson concentrée;JAWHARA;1L - Orgeat citron;;10,150 DT
Boisson concentrée;JAWHARA;1L - citron;;10,150 DT
Boisson concentrée;JAWHARA;1L - fraise;;10,150 DT
Boisson concentrée;JAWHARA;1L - cocktail;;10,150 DT
Boisson concentrée;JAWHARA;1L - mangue;;10,150 DT
Boisson concentrée;JAWHARA;1L - poire;;10,150 DT
Boisson concentrée;JAWHARA;1L - orange;;10,150 DT
Sirop;JAWHARA;1 Litre - grenadine;;10,150 DT
Sirop;JAWHARA;1 Litre - menthe;;10,150 DT
Boisson au jus de fruits;TEJ;1 Litre - mangue;;10,250 DT
Boisson au jus de fruits;TEJ;1 Litre - orange;;10,250 DT
Boisson au jus de fruits;TEJ;1 Litre - cocktail;11,490 DT;10,250 DT
Boisson au jus de fruits;TEJ;1 Litre - Citron amande;11,490 DT;10,250 DT
Boisson au jus de fruits;TEJ;1 Litre - citron;11,490 DT;10,250 DT
Boisson au jus de fruits;TEJ;1 Litre - fraise;11,490 DT;10,250 DT
Boisson au jus de fruits;TEJ;1 Litre - Kiwi;11,490 DT;10,250 DT
Boisson concentré;TEJ;1Litre - ananas;11,490 DT;10,250 DT
Boisson concentré;TEJ;1Litre - poire;11,490 DT;10,250 DT
Boisson au jus;BRAVO;1L - Raisin rouge;;11,540 DT
Boisson concentrée;HAZEM;1L - Fruits kiwi;;11,650 DT
Boisson concentrée;HAZEM;1L - Citron-Menthe;;11,650 DT
Boisson concentrée;HAZEM;1L - ananas;;11,650 DT
Boisson concentrée;HAZEM;1L - orange;;11,650 DT
Boisson concentrée;HAZEM;1L - citron;;11,650 DT
Boisson concentrée;HAZEM;1L - cocktail;;11,650 DT
Boisson concentrée;HAZEM;1L - fraise;;11,650 DT
Boisson concentrée;HAZEM;1L - citron;;11,650 DT
Boisson concentrée;HAZEM;1L - grenadine;;12,380 DT
Boisson concentrée;HAZEM;1L - menthe;;12,380 DT
Boisson concentrée;HAZEM;1L - Arôme pistache;;12,380 DT
Boisson concentrée;HAZEM;1L - Orgeat;;12,380 DT
Sirop;JAWHARA;0.75L - chocolat;;14,290 DT
Sirop;LA FRUITIERE;700ml - Arôme de menthe;;15,530 DT
Sirop;LA FRUITIERE;700ml - Arôme de pêche;;17,440 DT
Sirop;LA FRUITIERE;700ml - Arôme de pinacolada;;19,550 DT
Sirop;LA FRUITIERE;700ml - Arôme de curacao;;20,610 DT
Sirop aromatisé;LA FRUITIERE;700ml - mojito;;21,490 DT
Sirop;LA FRUITIERE;700ml - Arôme de kiwi -...;;22,720 DT
Sirop;LA FRUITIERE;700ml - Arôme de vanille;;23,780 DT
